source_json_file,source_text_file,barrier_id,actor,barrier_type,description,justification,reference_excerpt,certainty,note
Andersson_2021_human-adapt-supply-chains-digital-soluti.json,Andersson_2021_human-adapt-supply-chains-digital-soluti.txt,1,designer,resource,"The project lacked budget to procure devices, forcing the team to rely only on existing user devices during design and testing.","This financial constraint limited the team's ability to specify device requirements, produce and evaluate prototypes across consistent hardware, and plan realistic deployment scenarios.",It should be noted this project did not include funds for pro- curement of devices so only existing devices could be used.,certain,
Andersson_2021_human-adapt-supply-chains-digital-soluti.json,Andersson_2021_human-adapt-supply-chains-digital-soluti.txt,2,designer,resource,Poor network connectivity and sporadic electricity in the field constrained what digital functionality could be designed and tested.,"Unreliable connectivity and power impeded the team's ability to evaluate digital designs in realistic conditions and required them to change design requirements (e.g., include paper-based tools), limiting iterative digital testing.","Network connectivity was poor, and electricity to charge phones was sporadic.",certain,
Andersson_2021_human-adapt-supply-chains-digital-soluti.json,Andersson_2021_human-adapt-supply-chains-digital-soluti.txt,3,stakeholder,resource,"County governments lacked budgetary capacity to maintain separate software, forcing designers to constrain solutions to be sustainable without county-funded maintenance.","This external funding and capacity limitation constrained specification of system requirements and design options (e.g., must work on personal phones, include paper backups), thus narrowing feasible prototypes and evaluation scenarios.","For the system to be sustainable, it had to be applicable for all CHVs across Kenya; these counties alone do not have the capacity or budget to maintain the software. CHVs would need to use personal phones as procuring devices was not possible; county budgets are limited and maintaining broken or lost devices over the long term was not feasible.",certain,
Andersson_2021_human-adapt-supply-chains-digital-soluti.json,Andersson_2021_human-adapt-supply-chains-digital-soluti.txt,4,stakeholder,knowledge,"HCD requires specialized expertise that individuals working in government settings may not possess, making internal adoption and local leadership of the process difficult.","Limited HCD knowledge among government stakeholders hindered the designers' ability to transfer methods, build local capacity, and coordinate multidisciplinary teams for sustained HCD activities and iterative implementation.","It should be noted that HCD requires specialized expertise to lead the process, and individuals working in governments of low- and middle-income coun- tries may not have these skills. At this time, HCD is a specialized methodology that requires external as- sistance.",certain,
Andersson_2021_human-adapt-supply-chains-digital-soluti.json,Andersson_2021_human-adapt-supply-chains-digital-soluti.txt,5,designer,resource,"The HCD process required substantial up-front time and resources (7 months), which exceeded typical timelines for program design.","The long lead time constrained rapid iteration and increased resource demands on the design team, affecting their ability to integrate feedback quickly and potentially delaying evaluation and implementation activities.","Compared to other pro- gram design approaches, HCD and systems analysis can take a greater time investment up front (in this case it took 7 months). The approach requires significant time before implementation to conduct the research (2 to 3 months), thoroughly under- stand the end users (and establish trust with them), and develop and repeatedly test the design and high-fidelity prototypes of the solutions (2 to 3 months).",certain,
Ankolekar_2019_development-validation-patient-decision.json,Ankolekar_2019_development-validation-patient-decision.txt,1,designer,resource,"The development generated a large volume of qualitative data over a long timeline, imposing heavy analytic and incorporation work on developers.","Processing, analyzing and incorporating >100 hours of interview material over two years directly increased workload and slowed the team's ability to integrate feedback and iterate prototypes, hindering manage user understanding and integrate feedback & iteration workloads.","The development process spanned over two years and involved 58 participants, resulting in > 100 h of interview material and feedback that needed to be processed, analyzed and incorporated in successive rounds.",certain,
Ankolekar_2019_development-validation-patient-decision.json,Ankolekar_2019_development-validation-patient-decision.txt,2,interaction,knowledge,Diverse and conflicting preferences among stakeholders and users made it difficult to reconcile views and reach consensus on design decisions.,"Conflicting feedback (e.g., some users preferring closed navigation while others found it restrictive) impeded the team's ability to specify user requirements and integrate feedback across rounds, limiting iteration and evaluation decisions.","Additionally, engaging many different users provides a variety of perspectives, but can pose a larger challenge to integrate these diverse views and find a consensus, particularly in the area of usability testing. For instance, some participants found the PDA’s closed navigation essential to guide the user through the process while others felt it was too restrictive.",certain,
Ankolekar_2019_development-validation-patient-decision.json,Ankolekar_2019_development-validation-patient-decision.txt,3,designer,knowledge,"There was limited guidance on how to adapt decision aids for elderly users, leaving designers without clear evidence-based methods for this target group.",A lack of established guidance on designing for older audiences constrained the team's ability to fully understand the context of use and specify appropriate requirements for usability and accessibility for elderly patients.,"Moreover, there is little guidance on how to adapt PDAs for an older audience, leading the reviewers to emphasize the importance of proper design and testing. Visual support in the form of diagrams and animations is considered particularly beneficial.",certain,
Ankolekar_2019_development-validation-patient-decision.json,Ankolekar_2019_development-validation-patient-decision.txt,4,stakeholder,resource,"No established governance or maintenance structure existed to keep the PDA technologically and scientifically up-to-date, requiring ongoing collaboration that was not yet organized.","The absence of a governance structure and agreed maintenance responsibilities limits the designers' ability to sustain iterative updates, coordinate multidisciplinary actors, and manage evolving user understanding over time.","It is important to ensure that a PDA stays up-to-date on current developments and new therapies, which requires developers and clinicians to collaborate continuously. Therefore, it may be valuable to establish a governance structure within the hospital for maintaining the PDA and collecting and analyzing data about its effectiveness to be shared with clinicians and the wider medical community to create awareness.",certain,
Anraad_2024_promoting-informed-decision-making-about.json,Anraad_2024_promoting-informed-decision-making-about.txt,1,designer,resource,"The COVID-19 pandemic and social-distancing measures prevented Centering Pregnancy (CP) group-care from taking place, blocking inclusion of CP in the large-scale trial.","This external constraint directly hindered the designers' ability to evaluate the CP intervention in a planned large-scale trial, impeding the 'evaluate designs' workload and limiting real-world testing and iteration.","However, due to the COVID-19 pandemic and the associated social-distancing measured in place at the time of the data collection, CP group-care could not safely take place and could therefore not be included in the large-scale trial.",certain,
Anraad_2024_promoting-informed-decision-making-about.json,Anraad_2024_promoting-informed-decision-making-about.txt,2,designer,resource,"CP care was only offered in a limited number of clinics, preventing random assignment of midwifery clinics to CP or control conditions.","This operational constraint limited the designers' ability to use the intended semi-randomized design for evaluation, constraining the 'evaluate designs' workload and robust testing of the CP intervention.","We planned to use a semi-randomized design because participating midwifery clinics could not be randomly assigned to the CP or control condition, as CP care is only offered in a limited number of clinics.",certain,
Anraad_2024_promoting-informed-decision-making-about.json,Anraad_2024_promoting-informed-decision-making-about.txt,3,designer,resource,The development pre-tests used small sample sizes that were insufficient to evaluate effectiveness or support broad generalizability of findings.,"Small sample sizes constrained the designers' ability to generalize user insights and to robustly assess intervention outcomes, limiting the 'manage user understanding' and 'evaluate designs' workloads.",The small sample sizes in this study do not serve to evaluate the effectiveness of the intervention. They merely served to improve the intervention during the development process.,certain,
Anraad_2024_promoting-informed-decision-making-about.json,Anraad_2024_promoting-informed-decision-making-about.txt,4,stakeholder,emotional,Midwives' personal attitudes toward vaccination vary and some who are critical may be less inclined to follow the training.,"Because midwives are key facilitators of CP, their attitudes and potential reluctance to adopt training can undermine implementation fidelity and the designers' ability to facilitate user involvement and coordinate multidisciplinary delivery.",Midwives play an important role as facilitators in the CP intervention. ... midwives who are critical of vaccination may be less inclined to follow the training.,certain,
Anraad_2024_promoting-informed-decision-making-about.json,Anraad_2024_promoting-informed-decision-making-about.txt,5,designer,resource,Reaching at-risk populations (low health literacy and low SES) with online interventions is more challenging.,"This limitation impeded the designers' ability to ensure inclusive user involvement and manage understanding for all target subgroups, affecting 'manage user understanding' and 'facilitate user involvement' workloads and motivating the parallel development of a non-online CP intervention.","However, even though online interventions can be effective, the reach of at-risk populations (i.e., those with low (health) literacy and socio-economic status) is more challenging (23, 24).",certain,
Ansari-Martin_2024_integrating-human-public-health-data-das.json,Ansari-Martin_2024_integrating-human-public-health-data-das.txt,1,stakeholder,resource,"Public health staff were extremely busy during the COVID-19 pandemic, forcing the team to abandon traditional, resource-intensive HCD methods and adopt pragmatic alternatives (e.g., reviewing existing dashboards, virtual meetings).","Limited availability of stakeholder staff constrained the designers' ability to conduct contextual inquiry and extended domain workshops, hindering the workloads of managing user understanding, facilitating user involvement, and understanding context of use.","First, traditional human-centered design methods were modified to be more pragmatic, which was critical during the COVID-19 pandemic ... when public health staff were incredibly busy. The pragmatic modifications included learning from existing data dashboards instead of starting from scratch and conducting virtual meetings instead of observing user behavior in their workplace.",certain,
Ansari-Martin_2024_integrating-human-public-health-data-das.json,Ansari-Martin_2024_integrating-human-public-health-data-das.txt,2,stakeholder,resource,Sensitive data and confidential workspaces prevented the research team from gaining security clearances to observe users in their workplace.,"Restricted access to users' workplace interactions directly prevented contextual inquiry, reducing designers' ability to understand the real context of use and gather rich, in-situ user insights needed for specifying requirements and producing solutions.","Both were impractical in our context, between staff being diverted to the COVID-19 response (thereby severely constraining their time) and staff working in confidential spaces due to the sensitive data (thereby making it difficult for a researcher team to gain security clearances to observe workflows directly).",certain,
Ansari-Martin_2024_integrating-human-public-health-data-das.json,Ansari-Martin_2024_integrating-human-public-health-data-das.txt,3,designer,resource,"Conducting virtual meetings limited the types of observational data the team could collect (for example, eye movements and facial expressions).","The loss of rich observational cues hindered the designers' ability to fully evaluate user interactions and read nonverbal signals during usability testing, constraining the evaluation and manage user understanding workloads and limiting fidelity of feedback for iteration.","Our virtual meetings in Steps 3 and 4 may have been limited compared to the traditional methods because the data collection was not in the users’ work environment, and we could not collect some potentially useful data such as eye movements or facial expressions.",certain,
Ansari-Martin_2024_integrating-human-public-health-data-das.json,Ansari-Martin_2024_integrating-human-public-health-data-das.txt,4,interaction,knowledge,"Participant recruitment relied on practitioners already closely connected to the AIDS Institute who were knowledgeable about STIs but had limited prior experience with data dashboards, and evaluators/participants may not reflect all stakeholder opinions.","This sampling approach limited the diversity and representativeness of user perspectives available to designers, constraining their ability to manage user understanding, specify requirements for different user types, and ensure designs meet needs of all stakeholder groups.","we recruited participants from practitioners who already had close relationships with the AIDS Institute as community-based public health champions... these participants were knowledgeable about STIs but most of them had little previous experience with data dashboards... although the evaluators and participants comprised diverse groups, their opinions may not reflect all stakeholders’ opinions.",certain,
Ansari-Martin_2024_integrating-human-public-health-data-das.json,Ansari-Martin_2024_integrating-human-public-health-data-das.txt,5,stakeholder,resource,State government 'executive clearance' requirements mandated that the final dashboard be hosted on an external organization's website and that each website update be reviewed before public release.,"This external governance and approval constraint limited designers' deployment options and could slow or complicate iterative releases and rapid integration of feedback, thereby hindering integrate feedback & iteration and coordination with stakeholders.",Another finding was that the final data dashboard would need to be hosted on an external organization’s website due to state government agency “executive clearance” requirements that each website update be reviewed and approved before release to the public.,certain,
Arigo_2022_development-initial-testing-personalized.json,Arigo_2022_development-initial-testing-personalized.txt,1,team,knowledge,"Behavioral and computer science team members had gaps in shared domain knowledge and assumptions, leaving important navigation rules and edge cases unspecified.","This lack of shared technical and domain knowledge hindered coordination of the multidisciplinary team and prevented complete specification of user requirements, forcing later rework and limiting efficient iteration and integration of feedback.","potentially important navigation rules were left unspecified (ie, use of the web browser’s back button, entry of spaces, or nonlanguage text as open-ended responses). These and similar oversights may be owing to behavioral scientists’ implicit assumptions and lack of familiarity with the problems that such errors can cause, and thus, failing to specify all desired rules ahead of time.",certain,
Arigo_2022_development-initial-testing-personalized.json,Arigo_2022_development-initial-testing-personalized.txt,2,team,knowledge,"Key technical specification steps were skipped during the build (eg, tagging peer profiles with age indicators and preventing nonlanguage responses), and were postponed as substantial revisions.","Omitting these specification details directly impeded the team's ability to produce correct design solutions and to fully evaluate the prototype with intended data structures, delaying iteration and subsequent user testing.","The application specifications did not include procedures for preventing nonlanguage text responses to the open-ended questions. In contrast, the peer profiles were intended to be tagged with age indicators (similar to peer images), but this step was skipped in the build process... As the latter two issues were deemed substantial revisions, they were noted and postponed until a future round of substantive updates.",certain,
Arigo_2022_development-initial-testing-personalized.json,Arigo_2022_development-initial-testing-personalized.txt,3,stakeholder,resource,Lengthy and complex IRB and institutional permission processes (including server-hosting permissions) delayed development and testing.,"Regulatory and institutional constraints consumed time and required additional communication, which hindered the team's ability to iterate quickly, schedule testing, and maintain momentum for user-centered activities.",we encountered difficulties regarding questions about permissions for server housing and IRB questions about the collection of protected health information via the new web application. The process of effectively communicating this to the IRB and securing permission to house the web application on a commercial server was lengthy and involved. This was one of the several delays in the large process of web application development and testing that contributed to the extension of the project time line.,certain,
Arigo_2022_development-initial-testing-personalized.json,Arigo_2022_development-initial-testing-personalized.txt,4,designer,resource,"Limited financial and personnel resources for formative-stage work constrained activities such as recording interviews, multiple raters, and more robust evaluation procedures.","Resource scarcity prevented the team from implementing stronger evaluation practices and from protecting team members' time, thereby limiting the rigor of data collection, the ability to triangulate findings, and the quality of user understanding.","In future studies, it would be ideal to record interviews and have multiple raters use a standard set of guidelines. However, it is important to note that these procedures may not be possible at formative study stages owing to limited financial support to protect team members’ time for such activities. Relative to the resources available for later stages of the process... research funding for the formative stages of tool development is often much more modest.",certain,
Arigo_2022_development-initial-testing-personalized.json,Arigo_2022_development-initial-testing-personalized.txt,5,designer,resource,"All participant interviews and feedback sessions were conducted by the principal investigator, raising risks of social desirability and confirmation bias.",Centralizing data collection in one investigator—driven by available resources and staffing choices—limited the team's ability to manage user understanding objectively and reduced methodological rigor during evaluation.,"All data collection processes and feedback sessions with women in midlife were conducted by the first author (DA), who is the principal investigator of the project. Knowing that they were speaking to the project director may have heightened the participants’ social desirability or self-presentation behaviors. The first author’s direct involvement can also enable confirmation bias regarding the conclusions drawn.",certain,
Arigo_2022_development-initial-testing-personalized.json,Arigo_2022_development-initial-testing-personalized.txt,6,designer,resource,"The COVID-19 pandemic redirected investigator time and priorities, causing additional delays in development and testing.","This external disruption reduced available staff time and slowed iteration and coordination, constraining the team's ability to conduct planned user-centered activities and maintain the development timeline.","The onset of the COVID-19 pandemic was the cause of another delay, as part of the investigators’ research time was redirected to other professional and personal responsibilities.",certain,
Arrivillaga_2020_innovative-prototypes-cervical-cancer-pr.json,Arrivillaga_2020_innovative-prototypes-cervical-cancer-pr.txt,1,designer,resource,"Designers faced resource constraints (funding, space, coordination) that limit the feasibility of implementing prototypes at scale.","Lack of funding, physical spaces and coordination capacity prevents designers from refining, scaling and evaluating prototypes in real service settings, hindering production of design solutions and iterative testing.","Issues like manicure funding, the provision of physical spaces in waiting rooms, and the coordination of waiting times with medical care should be reviewed.",certain,
Arrivillaga_2020_innovative-prototypes-cervical-cancer-pr.json,Arrivillaga_2020_innovative-prototypes-cervical-cancer-pr.txt,2,stakeholder,resource,"Healthcare centers lacked capacity to absorb demand induced by the 'Encanto' prototype, constraining designers' ability to test real-world uptake.","If health centers cannot schedule Pap test appointments in a timely manner, designers cannot validly evaluate uptake or iteratively improve the experience based on real attendance data, hindering evaluation and facilitation of user involvement.","Finally, due to the appeal of the service, the healthcare center must attend to the demand induced by ‘Encanto’ and schedule Pap test appointments in a timely manner.",certain,
Arrivillaga_2020_innovative-prototypes-cervical-cancer-pr.json,Arrivillaga_2020_innovative-prototypes-cervical-cancer-pr.txt,3,interaction,knowledge,"Older women had difficulty handling touchscreen tablets, reducing designers' ability to include them in usability testing and interactional evaluation.","Low digital literacy among some participants prevented effective interaction with the app prototype, hindering designers' ability to evaluate designs, understand context of use, and facilitate inclusive user involvement.","The tablet was not an adequate tool for women over 60 years old, who had difficulty handling a touchscreen.",certain,
Arrivillaga_2020_innovative-prototypes-cervical-cancer-pr.json,Arrivillaga_2020_innovative-prototypes-cervical-cancer-pr.txt,4,interaction,resource,"Beacon-delivered messages produced notifications but resulted in few users effectively accessing the linked video, limiting outreach effectiveness.","Low effective access to the video via Beacons prevented designers from reaching and testing with target users in their contexts, constraining evaluation of the media-based prototype and its iterations.","After analyzing the data, it was determined that, although there were 297 message notifications in the targeted cellphones, few people had effective access to the video.",certain,
Arrivillaga_2020_innovative-prototypes-cervical-cancer-pr.json,Arrivillaga_2020_innovative-prototypes-cervical-cancer-pr.txt,5,stakeholder,resource,"The project lacked a follow-up mechanism and interoperable information systems to link outreach messages to clinic visits, limiting outcome evaluation.","Without systems to identify which women were reached and whether they subsequently attended clinics, designers cannot measure effectiveness or integrate feedback for the media strategy, hindering evaluation and management of user understanding.","in order to value the effectiveness of the media-based strategy, a follow-up mechanism must be included that can identify the women outreached with this technology and, subsequently those who visited primary healthcare centers to take a Pap test.",certain,
Arrivillaga_2020_innovative-prototypes-cervical-cancer-pr.json,Arrivillaga_2020_innovative-prototypes-cervical-cancer-pr.txt,6,designer,resource,The Citobot required further hardware modifications and additional clinical and AI development before it could match existing devices and be validated.,"Technical limitations (narrower viewing angle) and the need for AI algorithm development and clinical validation prevented designers from finalizing the device and fully evaluating its performance in context, hindering production of robust design solutions and evaluation.","However, the speculum’s viewing angle was greater than that of the Citobot, so this device requires further modifications in hardware development. ... In subsequent studies, we will advance clinical research to determine the acceptability, reproducibility, sensitivity, and specificity, concordance with cytology, and predictive capacity of the Citobot. At the same time, we will develop the machine learning algorithms of the AI incorporated into this medical device.",certain,
Asadipour_2020_technology-aided-multi-modal-training-ap.json,Asadipour_2020_technology-aided-multi-modal-training-ap.txt,1,designer,resource,"There were no suitable off-the-shelf measurement interfaces, and budget and time constraints forced the team to develop an early prototype in-house.","Lack of available hardware and limited funding/time constrained the team's ability to procure existing tools, increasing workload for producing design solutions and slowing iteration and evaluation activities.","Design of an early prototype for palpation training was planned due to a lack of available oﬀ-the-shelf measurement interfaces with the ﬂexibility required for this study. Moreover, additional factors such as budget restrictions and time commitments were inﬂuential in making this decision.",certain,
Asadipour_2020_technology-aided-multi-modal-training-ap.json,Asadipour_2020_technology-aided-multi-modal-training-ap.txt,2,interaction,resource,"End users were not available for early evaluation, so proxies (colleagues) were used instead to run Cognitive Walkthroughs.","Unavailability of real end-users limited authentic user involvement and evaluation, reducing the team's ability to manage evolving user understanding and to integrate user feedback effectively in early iterations.","Cognitive Walkthrough was used to evaluate the early prototype, when an end-user is not available with the help of proxies (e.g. fellow colleagues) to ensure it complies with the domain principles which were extracted via literature reviews and process observations.",certain,
Asadipour_2020_technology-aided-multi-modal-training-ap.json,Asadipour_2020_technology-aided-multi-modal-training-ap.txt,3,designer,resource,"Ethnographic field methods were considered infeasible because they are costly and time-consuming, preventing long-term embedded observations.",The inability to perform extended ethnographic studies limited the team's capacity to deeply understand real training contexts and constrained the 'understand context of use' and 'manage user understanding' workloads.,"ethnography (or ﬁeld study) is one of the most eﬀective methods in ergonomics studies to determine challenges and collect information about conventional practice. However, it is a costly and time consuming method in which the investigator is physically involved/embedded in the whole training programme (in medical school) for long-term investigations.",certain,
Asadipour_2020_technology-aided-multi-modal-training-ap.json,Asadipour_2020_technology-aided-multi-modal-training-ap.txt,4,interaction,resource,"Only four senior clinical tutors were involved in developing the ground-truth model, and the authors state more expert collaboration was required.","Limited expert participation constrained the team's ability to produce a robust, generalisable best-practice model and hindered specifying reliable user requirements and validating assessment criteria.",Four senior clinical tutors were involved in order to develop a ground theory in a limited timeframe and more collaboration from experts are required to improve eﬃciency and reliability of the proposed approach.,certain,
Asadipour_2020_technology-aided-multi-modal-training-ap.json,Asadipour_2020_technology-aided-multi-modal-training-ap.txt,5,interaction,resource,"Recruitment difficulties and participant withdrawals reduced representation across body types and genders (e.g., no large female volunteers; a male withdrew prior to data collection).","Restricted access to diverse actor patients limited the team's ability to understand context-of-use variability and to create an averaged anatomy model, hindering evaluation and generalisability of findings.","It was diﬃcult to ﬁnd a female participant in the Large category as no one within that category volunteered and it was deemed unethical to ask individuals directly. Just prior to the start of the data collection, the male participant in the medium body category withdrew.",certain,
Asadipour_2020_technology-aided-multi-modal-training-ap.json,Asadipour_2020_technology-aided-multi-modal-training-ap.txt,6,stakeholder,resource,"Institutional permissions limited changes to room layout, restricting where the TFT display could be placed during experiments.","Restricted room/setting permissions prevented designing ideal real-world evaluation setups and constrained evaluation and user involvement practices (e.g., positioning feedback displays close to patients), reducing ecological validity of tests.",The investigator had limited permissions to change the room settings to position the TFT display next to the patient’s face.,certain,
Asadipour_2020_technology-aided-multi-modal-training-ap.json,Asadipour_2020_technology-aided-multi-modal-training-ap.txt,7,designer,resource,"Current sensing and multimodal visualisation technologies are not yet sufficiently advanced or robust, requiring further research to achieve reliable quantification.","Technical limitations of sensors and displays constrained the fidelity of prototypes and the team's ability to produce high‑fidelity solutions and fully evaluate them, impacting iteration and implementation planning.","Measuring the human ergonomics demands advancement in sensory technologies and multimodal visualisation displays. Thus, more research is needed in this domain to guide future researchers and developers towards robust and reliable quantiﬁcation techniques.",certain,
Asadipour_2020_technology-aided-multi-modal-training-ap.json,Asadipour_2020_technology-aided-multi-modal-training-ap.txt,8,interaction,resource,"Physical design issues were reported by participants (glove size for small hands, left‑handedness, and exposure of electronics to patient skin), indicating the prototype did not fully meet diverse user requirements.","These usability and safety concerns limited the team's ability to satisfy user requirements and produce an unintrusive, inclusive design, thereby constraining further iteration and wider user testing.","In particular, the following concerns raised among the answers; Paying attention to the patient’s face during familiarisation stage, glove size for small hands and left handedness, exposure of the electronics to patient’s skin.",certain,
Azad_2024_developing-multimedia-patient-reported-o.json,Azad_2024_developing-multimedia-patient-reported-o.txt,1,designer,knowledge,"The research team did not record reasons for non-participation or characteristics of non-participants, leaving gaps in understanding who was excluded from study phases.",Lack of data on non-participants limited the designers' ability to manage user understanding and to ensure representative recruitment for HCD activities (understand context of use and facilitate user involvement).,Reasons for non-participation and characteristics of the non-participant cohort were not recorded.,certain,
Azad_2024_developing-multimedia-patient-reported-o.json,Azad_2024_developing-multimedia-patient-reported-o.txt,2,stakeholder,resource,"The community advisory board (CAB) comprised only eight members, so community input beyond those directly associated with the study came from a relatively small number of individuals.",Limited stakeholder representation constrained the designers' ability to manage evolving community understanding and to facilitate broader user involvement during planning and feedback phases.,"Additionally, our community advisory board included only eight members, so our community input beyond those directly associated with the study came from a relatively small number of individuals.",certain,
Azad_2024_developing-multimedia-patient-reported-o.json,Azad_2024_developing-multimedia-patient-reported-o.txt,3,designer,knowledge,"The study focused recruitment on variation in print literacy and excluded patients with cognitive disabilities or poor English proficiency, potentially missing important perspectives.","Excluding these groups reduced the designers' ability to fully understand the range of user needs and contexts of use, limiting requirement specification and inclusive design decisions.","For example, patients with cognitive disabilities or with poor English proficiency may have perspectives that differ from the broader low print literacy population.  ...  we chose to focus our recruitment strategy on ensuring variation in print literacy levels.",certain,
Azad_2024_developing-multimedia-patient-reported-o.json,Azad_2024_developing-multimedia-patient-reported-o.txt,4,interaction,resource,Patients did not participate directly in the ideation workshop; designers relied on patient quotes and suggestions instead of real-time co-creation.,"Absence of direct patient participation limited facilitation of user involvement and constrained real-time integration of user feedback during ideation, affecting iteration and solution generation.","Although patients did not participate in the ideation workshop, we engaged co-creation and participatory processes [58, 59] by incorporating direct patient quotes and patient suggestions into the discussion.",certain,
